,Ticker,CVaR99
0,DDG,-0.017
1,DHT,-0.02
2,BAB,-0.04
3,CAP,-0.041
4,BCF,-0.044
5,HAD,-0.045
6,NAG,-0.047
7,GKM,-0.048
8,GMX,-0.049
9,SED,-0.05
10,SCG,-0.051
11,SLS,-0.051
12,SZB,-0.051
13,TV4,-0.051
14,NET,-0.053
15,PPP,-0.055
16,VC3,-0.055
17,HVT,-0.056
18,PVI,-0.057
19,NTP,-0.058
20,TDT,-0.059
21,PGS,-0.059
22,IDV,-0.06
23,STP,-0.061
24,DP3,-0.061
25,INN,-0.062
26,VCS,-0.062
27,SAF,-0.063
28,TMC,-0.063
29,CIA,-0.064
30,DVM,-0.065
31,PPS,-0.065
32,TV3,-0.066
33,KSF,-0.066
34,AME,-0.068
35,RCL,-0.07
36,PGN,-0.07
37,DNP,-0.07
38,LHC,-0.071
39,SD5,-0.071
40,PTS,-0.072
41,VNR,-0.073
42,HCC,-0.073
43,SHN,-0.073
44,C69,-0.074
45,NVB,-0.074
46,THT,-0.074
47,KSD,-0.075
48,CAG,-0.076
49,TA9,-0.076
50,HMH,-0.077
51,D11,-0.077
52,VBC,-0.077
53,PCT,-0.077
54,TKG,-0.078
55,HOM,-0.079
56,CPC,-0.08
57,TFC,-0.08
58,VTV,-0.08
59,DXP,-0.08
60,HAT,-0.08
61,TKU,-0.082
62,CCR,-0.082
63,HTP,-0.082
64,SPI,-0.082
65,NDX,-0.082
66,GIC,-0.082
67,BTW,-0.083
68,SHE,-0.083
69,SDT,-0.084
70,SRA,-0.085
71,PSE,-0.085
72,MDC,-0.085
73,HGM,-0.085
74,EVS,-0.085
75,SJE,-0.086
76,NDN,-0.086
77,IVS,-0.086
78,DAD,-0.087
79,VNF,-0.087
80,BTS,-0.087
81,SJ1,-0.087
82,HLC,-0.087
83,DS3,-0.087
84,EBS,-0.087
85,SD4,-0.087
86,CVN,-0.088
87,HJS,-0.088
88,KTS,-0.088
89,HBS,-0.088
90,SD6,-0.088
91,SD9,-0.088
92,TMB,-0.089
93,TPP,-0.089
94,VE1,-0.089
95,SSM,-0.089
96,BNA,-0.089
97,PPY,-0.089
98,TVD,-0.09
99,MAS,-0.09
100,VIT,-0.09
101,HHC,-0.09
102,HDA,-0.09
103,PCG,-0.09
104,V21,-0.09
105,TTH,-0.09
106,PGT,-0.09
107,TTL,-0.091
108,TDN,-0.091
109,WSS,-0.091
110,CTC,-0.091
111,BVS,-0.091
112,CTP,-0.091
113,CMC,-0.091
114,CET,-0.091
115,PVS,-0.092
116,DC2,-0.092
117,PSW,-0.092
118,TPH,-0.092
119,CTB,-0.092
120,PSD,-0.092
121,POT,-0.092
122,SVN,-0.092
123,ICG,-0.092
124,BPC,-0.092
125,VDL,-0.092
126,VHL,-0.092
127,VSM,-0.092
128,PV2,-0.093
129,L62,-0.093
130,LAS,-0.093
131,DTC,-0.093
132,TIG,-0.093
133,FID,-0.093
134,HHG,-0.093
135,VHE,-0.093
136,HMR,-0.093
137,BKC,-0.093
138,DIH,-0.094
139,SCI,-0.094
140,HLD,-0.094
141,THD,-0.094
142,DVG,-0.094
143,PMS,-0.094
144,AMV,-0.094
145,VTC,-0.094
146,VMS,-0.094
147,VE8,-0.094
148,MAC,-0.094
149,TKC,-0.094
150,DAE,-0.095
151,TC6,-0.095
152,DTD,-0.095
153,IDC,-0.095
154,TNG,-0.095
155,STC,-0.095
156,AAV,-0.095
157,LM7,-0.095
158,KVC,-0.095
159,SHS,-0.095
160,PLC,-0.096
161,TOT,-0.096
162,PSI,-0.096
163,MBG,-0.096
164,UNI,-0.096
165,VC6,-0.096
166,DL1,-0.096
167,VCC,-0.096
168,NBC,-0.096
169,BCC,-0.096
170,PCH,-0.096
171,NBP,-0.096
172,VTZ,-0.096
173,S99,-0.096
174,NSH,-0.096
175,DST,-0.096
176,TVC,-0.097
177,KSQ,-0.097
178,MST,-0.097
179,BII,-0.097
180,MCO,-0.097
181,VC9,-0.097
182,VIG,-0.097
183,VKC,-0.097
184,NRC,-0.097
185,PDB,-0.097
186,KKC,-0.097
187,VGS,-0.097
188,VTH,-0.097
189,TSB,-0.097
190,LIG,-0.097
191,TAR,-0.097
192,PVG,-0.097
193,PVB,-0.097
194,IPA,-0.098
195,ITQ,-0.098
196,VC7,-0.098
197,SDN,-0.098
198,SMT,-0.098
199,CMS,-0.098
200,PTI,-0.098
201,NBW,-0.098
202,V12,-0.098
203,MBS,-0.098
204,IDJ,-0.099
205,HUT,-0.099
206,PBP,-0.099
207,APS,-0.099
208,SDA,-0.099
209,SIC,-0.099
210,KHS,-0.099
211,L40,-0.099
212,VC2,-0.099
213,PMP,-0.099
214,CSC,-0.099
215,LDP,-0.099
216,PVC,-0.099
217,PVL,-0.099
218,CAN,-0.1
219,CEO,-0.1
220,API,-0.1
221,VNT,-0.1
222,L14,-0.1
223,L18,-0.1
