,Ticker,VaR95
0,SMB,-0.011
1,KOS,-0.015
2,KDC,-0.015
3,OPC,-0.018
4,SHP,-0.018
5,NCT,-0.019
6,CHP,-0.02
7,CLC,-0.021
8,TRA,-0.021
9,VPI,-0.022
10,SBV,-0.022
11,LIX,-0.024
12,VNM,-0.024
13,SCS,-0.024
14,CDC,-0.024
15,DVP,-0.024
16,DBD,-0.025
17,DSN,-0.025
18,VJC,-0.025
19,SSB,-0.025
20,SJD,-0.025
21,HTI,-0.025
22,CAV,-0.026
23,SAB,-0.026
24,GDT,-0.026
25,CLL,-0.027
26,DHG,-0.027
27,VCB,-0.027
28,TCL,-0.028
29,FIR,-0.028
30,AGG,-0.028
31,SBA,-0.028
32,PPC,-0.028
33,PGI,-0.028
34,SGN,-0.028
35,DHM,-0.028
36,NSC,-0.029
37,CTF,-0.029
38,VIC,-0.03
39,BHN,-0.03
40,VPD,-0.03
41,ICT,-0.031
42,TYA,-0.031
43,DCL,-0.031
44,TBC,-0.032
45,VHM,-0.032
46,TMP,-0.033
47,FPT,-0.033
48,TIX,-0.033
49,TCM,-0.034
50,ACB,-0.035
51,PGV,-0.035
52,DBT,-0.035
53,SHI,-0.035
54,TN1,-0.036
55,PNJ,-0.036
56,SZL,-0.036
57,S4A,-0.036
58,DHC,-0.037
59,RAL,-0.037
60,NNC,-0.037
61,DRL,-0.037
62,CSM,-0.037
63,TDM,-0.037
64,SCD,-0.037
65,IMP,-0.037
66,HDB,-0.038
67,HHP,-0.038
68,DTL,-0.038
69,PAC,-0.038
70,BMP,-0.038
71,ILB,-0.04
72,VTB,-0.04
73,TVT,-0.04
74,SJS,-0.04
75,BIC,-0.04
76,VPB,-0.04
77,VID,-0.04
78,SFI,-0.04
79,OCB,-0.041
80,GSP,-0.041
81,BWE,-0.041
82,VIB,-0.041
83,ACG,-0.041
84,TCT,-0.041
85,PGD,-0.042
86,VNL,-0.042
87,C32,-0.042
88,PLX,-0.043
89,VCA,-0.043
90,VPS,-0.043
91,SAV,-0.043
92,BTP,-0.043
93,VSC,-0.043
94,CTG,-0.044
95,SVT,-0.044
96,HMC,-0.044
97,MSB,-0.044
98,SFG,-0.044
99,BCM,-0.044
100,PGC,-0.045
101,TLG,-0.045
102,PTB,-0.045
103,MSH,-0.045
104,TMS,-0.046
105,APC,-0.046
106,TTA,-0.046
107,STK,-0.046
108,TPB,-0.046
109,GAS,-0.046
110,HTV,-0.046
111,VNG,-0.047
112,VTO,-0.047
113,BVH,-0.048
114,HPG,-0.048
115,TV2,-0.048
116,THI,-0.048
117,EVE,-0.048
118,TRC,-0.05
119,TDP,-0.05
120,AAM,-0.05
121,THG,-0.05
122,VRE,-0.05
123,UIC,-0.05
124,BID,-0.05
125,SRF,-0.05
126,TCB,-0.051
127,SHA,-0.051
128,CMG,-0.051
129,SC5,-0.051
130,MSN,-0.051
131,VNE,-0.051
132,DHA,-0.052
133,LM8,-0.052
134,BRC,-0.052
135,VNS,-0.052
136,GMD,-0.052
137,SPM,-0.052
138,FMC,-0.053
139,HVN,-0.054
140,D2D,-0.054
141,MBB,-0.054
142,DPR,-0.055
143,REE,-0.055
144,EVF,-0.055
145,MWG,-0.056
146,POM,-0.056
147,BBC,-0.056
148,HVX,-0.056
149,ADG,-0.057
150,EIB,-0.058
151,TVS,-0.058
152,KDH,-0.058
153,NT2,-0.058
154,VIP,-0.059
155,VMD,-0.059
156,SHB,-0.059
157,HVH,-0.06
158,DRC,-0.06
159,TNA,-0.061
160,SSC,-0.061
161,CRE,-0.061
162,CRC,-0.062
163,TNH,-0.062
164,HAS,-0.062
165,YBM,-0.063
166,VDS,-0.063
167,GMC,-0.063
168,ACC,-0.063
169,ITD,-0.064
170,VSI,-0.064
171,NHH,-0.064
172,NAV,-0.065
173,SKG,-0.065
174,NAF,-0.065
175,HII,-0.065
176,ST8,-0.065
177,BAF,-0.065
178,NTL,-0.066
179,ADS,-0.066
180,ABT,-0.066
181,HU3,-0.066
182,STB,-0.066
183,PVT,-0.066
184,SBT,-0.066
185,BMC,-0.066
186,LPB,-0.066
187,PNC,-0.066
188,TPC,-0.066
189,ASP,-0.067
190,C47,-0.067
191,GEG,-0.067
192,RDP,-0.067
193,HCD,-0.067
194,ORS,-0.067
195,SMA,-0.067
196,TCO,-0.067
197,SGR,-0.067
198,TCR,-0.067
199,TEG,-0.067
200,POW,-0.067
201,SMC,-0.067
202,AAT,-0.067
203,HSL,-0.067
204,HT1,-0.067
205,HU1,-0.067
206,HUB,-0.067
207,TIP,-0.067
208,KPF,-0.067
209,COM,-0.068
210,BCE,-0.068
211,VPG,-0.068
212,ELC,-0.068
213,VOS,-0.068
214,SVI,-0.068
215,DTT,-0.068
216,VND,-0.068
217,BMI,-0.068
218,CTI,-0.068
219,EVG,-0.068
220,DTA,-0.068
221,VFG,-0.068
222,DAT,-0.068
223,SVD,-0.068
224,DBC,-0.068
225,SAM,-0.068
226,AAA,-0.068
227,HAP,-0.068
228,FCM,-0.068
229,PLP,-0.068
230,LEC,-0.068
231,KHP,-0.068
232,TLD,-0.068
233,MHC,-0.068
234,MIG,-0.068
235,SSI,-0.068
236,TMT,-0.068
237,IBC,-0.068
238,TNC,-0.068
