,Ticker,VaR99
0,DDG,-1.93
1,DHT,-2.33
2,BAB,-4.39
3,CAP,-4.94
4,HAD,-5.01
5,GMX,-5.34
6,SED,-5.46
7,NAG,-5.58
8,SLS,-5.82
9,PGS,-5.82
10,SZB,-5.83
11,SCG,-5.98
12,TV4,-6.02
13,BCF,-6.06
14,TDT,-6.32
15,VC3,-6.51
16,GKM,-6.66
17,HVT,-6.69
18,NET,-6.88
19,STP,-6.9
20,PVI,-7.21
21,PPP,-7.36
22,NTP,-7.47
23,KSF,-7.61
24,PPS,-7.65
25,INN,-7.74
26,RCL,-7.84
27,IDV,-7.87
28,DVM,-7.9
29,CIA,-7.93
30,DP3,-7.98
31,VCS,-8.12
32,AME,-8.13
33,THT,-8.13
34,SHN,-8.41
35,HCC,-8.47
36,NVB,-8.5
37,DNP,-8.63
38,PTS,-8.64
39,HAT,-8.67
40,HMH,-8.67
41,D11,-8.71
42,TMC,-8.75
43,VTV,-8.76
44,CAG,-8.77
45,HOM,-8.79
46,LHC,-8.84
47,KSD,-8.87
48,TV3,-8.87
49,SD5,-8.9
50,PCT,-8.93
51,C69,-9.01
52,SPI,-9.02
53,SDT,-9.04
54,PGN,-9.14
55,NDN,-9.14
56,CCR,-9.17
57,VBC,-9.19
58,MDC,-9.19
59,TA9,-9.25
60,SD4,-9.27
61,DXP,-9.27
62,IVS,-9.32
63,SHE,-9.33
64,NDX,-9.35
65,CET,-9.37
66,VNF,-9.39
67,SAF,-9.4
68,CTC,-9.41
69,PGT,-9.44
70,GIC,-9.44
71,HBS,-9.45
72,SD9,-9.48
73,VE1,-9.5
74,SRA,-9.5
75,TTH,-9.52
76,DS3,-9.52
77,VIT,-9.53
78,KTS,-9.54
79,CVN,-9.56
80,AMV,-9.57
81,SVN,-9.58
82,CPC,-9.58
83,WSS,-9.59
84,DC2,-9.59
85,EBS,-9.59
86,PPY,-9.6
87,SD6,-9.61
88,BKC,-9.62
89,TTL,-9.63
90,VNR,-9.63
91,CMC,-9.63
92,TPP,-9.64
93,CTB,-9.64
94,TFC,-9.64
95,BTS,-9.65
96,DAD,-9.65
97,TVD,-9.66
98,FID,-9.66
99,V21,-9.67
100,PCG,-9.69
101,PSI,-9.7
102,TKU,-9.7
103,BTW,-9.7
104,MCO,-9.7
105,VHL,-9.71
106,PSE,-9.73
107,SSM,-9.73
108,VTC,-9.73
109,PCH,-9.74
110,TIG,-9.74
111,PV2,-9.74
112,TDN,-9.74
113,TKC,-9.75
114,TMB,-9.75
115,CTP,-9.75
116,LM7,-9.75
117,DTC,-9.76
118,DST,-9.76
119,NBP,-9.76
120,VE8,-9.77
121,BVS,-9.77
122,VDL,-9.77
123,DVG,-9.77
124,SHS,-9.78
125,TC6,-9.78
126,HJS,-9.78
127,SJ1,-9.79
128,ICG,-9.79
129,HGM,-9.79
130,PMS,-9.8
131,S99,-9.8
132,DAE,-9.8
133,HTP,-9.81
134,VCC,-9.81
135,VHE,-9.82
136,DTD,-9.82
137,LAS,-9.82
138,EVS,-9.82
139,SCI,-9.83
140,HDA,-9.83
141,AAV,-9.83
142,PSW,-9.83
143,MAC,-9.83
144,TPH,-9.84
145,STC,-9.84
146,TNG,-9.84
147,TVC,-9.85
148,VC9,-9.85
149,BII,-9.85
150,KKC,-9.85
151,HLC,-9.86
152,PDB,-9.86
153,NSH,-9.86
154,PSD,-9.86
155,SJE,-9.86
156,BCC,-9.86
157,VC6,-9.87
158,VIG,-9.87
159,DL1,-9.87
160,DIH,-9.87
161,L62,-9.87
162,PVS,-9.87
163,LIG,-9.88
164,MAS,-9.88
165,HMR,-9.89
166,PVB,-9.89
167,HLD,-9.89
168,VTZ,-9.9
169,POT,-9.9
170,PVG,-9.9
171,VTH,-9.9
172,V12,-9.91
173,SMT,-9.91
174,VGS,-9.91
175,MBG,-9.92
176,NBC,-9.92
177,IDC,-9.93
178,NBW,-9.93
179,CMS,-9.93
180,BNA,-9.94
181,HHC,-9.94
182,NRC,-9.95
183,IPA,-9.95
184,THD,-9.95
185,BPC,-9.95
186,KVC,-9.96
187,SDA,-9.96
188,MBS,-9.96
189,TKG,-9.96
190,LDP,-9.96
191,KHS,-9.96
192,APS,-9.97
193,SDN,-9.97
194,VSM,-9.97
195,HHG,-9.98
196,VC7,-9.99
197,IDJ,-9.99
198,L40,-9.99
199,PTI,-9.99
200,TAR,-9.99
201,VKC,-10.0
202,VMS,-10.0
203,VNT,-10.0
204,L14,-10.0
205,API,-10.0
206,L18,-10.0
207,SIC,-10.0
208,MST,-10.0
209,ITQ,-10.0
210,VC2,-10.0
211,UNI,-10.0
212,HUT,-10.0
213,PBP,-10.0
214,TSB,-10.0
215,TOT,-10.0
216,PLC,-10.0
217,CAN,-10.0
218,PMP,-10.0
219,CEO,-10.0
220,PVC,-10.0
221,CSC,-10.0
222,PVL,-10.0
223,KSQ,-10.0
