,Ticker,Volality
0,CEO,99.46
1,SDA,96.74
2,L14,95.15
3,PVL,93.63
4,CMS,91.7
5,PBP,91.24
6,VNT,90.03
7,VC9,86.71
8,BII,86.34
9,SMT,85.94
10,APS,85.28
11,MCO,84.85
12,IDJ,82.6
13,L40,82.4
14,PVC,80.33
15,PMP,78.79
16,L18,78.32
17,VKC,77.97
18,LDP,76.77
19,V12,75.88
20,API,75.82
21,VC7,75.46
22,DST,75.18
23,KVC,74.6
24,PDB,74.42
25,HHG,74.06
26,SDN,73.65
27,KHS,73.64
28,CET,73.54
29,HUT,73.22
30,PCH,73.13
31,BKC,72.89
32,CAN,72.32
33,ITQ,72.29
34,LIG,72.12
35,VGS,72.03
36,KSQ,71.82
37,NSH,71.58
38,VIG,71.53
39,SIC,71.43
40,SVN,71.28
41,POT,71.09
42,TSB,70.58
43,PV2,70.56
44,FID,70.5
45,L62,69.91
46,CTC,69.44
47,TTH,69.1
48,TAR,68.58
49,UNI,68.49
50,TTL,68.47
51,CMC,68.24
52,NBC,68.18
53,MBG,67.92
54,VE1,67.88
55,PCG,67.83
56,VTH,67.77
57,DTC,67.74
58,VE8,67.64
59,HMR,67.42
60,DL1,67.4
61,LM7,67.12
62,VMS,67.04
63,MAC,66.93
64,VC6,66.52
65,TC6,66.41
66,PSW,66.4
67,TPP,66.37
68,IDC,66.11
69,DC2,65.89
70,NBW,65.82
71,V21,65.72
72,TOT,65.69
73,TVC,65.66
74,SD9,65.5
75,PVG,65.47
76,LAS,65.22
77,DIH,65.11
78,PSI,64.99
79,VIT,64.5
80,SD6,64.2
81,SD4,63.84
82,ICG,63.81
83,TKC,63.74
84,IPA,63.35
85,PVB,63.35
86,CSC,63.15
87,VTZ,63.03
88,VHE,62.88
89,VTC,62.4
90,S99,62.25
91,TVD,62.07
92,HBS,61.89
93,TDN,61.39
94,AAV,61.29
95,PTI,61.25
96,SCI,61.13
97,PVS,60.83
98,BCC,60.76
99,STC,60.68
100,MBS,60.59
101,DTD,60.41
102,VCC,60.38
103,SSM,60.37
104,HLD,60.31
105,NBP,60.09
106,CTP,60.03
107,TNG,60.02
108,HLC,59.94
109,VHL,59.8
110,AMV,59.55
111,SHS,59.44
112,PLC,59.38
113,KTS,58.99
114,DVG,58.9
115,PCT,58.89
116,TKG,58.73
117,TMB,58.64
118,MDC,58.55
119,BPC,58.22
120,CVN,58.14
121,PSE,57.92
122,NRC,57.91
123,TIG,57.88
124,WSS,57.83
125,SJE,57.62
126,SDT,57.52
127,VNF,57.42
128,RCL,57.2
129,PGT,57.03
130,VC2,56.9
131,PSD,56.43
132,DS3,56.31
133,HHC,56.23
134,CTB,56.2
135,IVS,55.96
136,CCR,55.74
137,BTS,55.63
138,PMS,55.47
139,HTP,55.42
140,SPI,55.41
141,EVS,55.4
142,PPY,55.31
143,MAS,55.28
144,LHC,55.24
145,TPH,54.89
146,BVS,54.84
147,TKU,54.74
148,KSD,54.45
149,EBS,54.27
150,VDL,53.74
151,VTV,53.42
152,DNP,53.24
153,HDA,53.21
154,NDX,53.18
155,HAT,53.04
156,HGM,52.66
157,SJ1,52.54
158,SRA,51.98
159,NDN,51.88
160,THT,51.64
161,HMH,51.52
162,THD,51.51
163,D11,51.09
164,AME,50.33
165,DAE,50.16
166,DXP,49.87
167,HCC,49.15
168,VBC,48.87
169,MST,48.83
170,VC3,48.81
171,KSF,48.8
172,NVB,48.67
173,HOM,48.07
174,SD5,48.04
175,KKC,48.0
176,TA9,47.99
177,BNA,47.09
178,PTS,47.02
179,TFC,46.92
180,C69,46.64
181,TDT,46.51
182,VNR,46.47
183,CIA,46.33
184,CAG,45.72
185,HVT,45.47
186,SHE,45.33
187,HJS,44.94
188,CPC,44.82
189,VSM,44.59
190,DAD,44.02
191,PGS,43.04
192,INN,42.81
193,BTW,42.24
194,TV3,42.05
195,SHN,41.2
196,NAG,40.87
197,PPP,40.39
198,SCG,39.68
199,PVI,38.96
200,SAF,38.8
201,PPS,38.37
202,SZB,38.18
203,DP3,38.02
204,GIC,37.88
205,NTP,37.5
206,TV4,36.73
207,STP,36.39
208,PGN,36.06
209,GKM,35.17
210,DVM,35.05
211,TMC,34.0
212,IDV,32.52
213,SLS,32.44
214,GMX,31.62
215,HAD,31.32
216,BCF,30.56
217,VCS,30.35
218,CAP,27.67
219,NET,26.36
220,BAB,25.63
221,SED,25.17
222,DDG,20.78
223,DHT,12.64
