,Ticker,Volality
0,TGG,82.43
1,VFG,81.5
2,PTC,78.29
3,LDG,75.87
4,DIG,74.95
5,CIG,73.35
6,VRC,71.66
7,NHA,70.79
8,SJF,70.7
9,NVT,69.94
10,IDI,69.82
11,NBB,69.57
12,QCG,69.44
13,TNC,69.39
14,OGC,69.08
15,HQC,68.42
16,AMD,68.16
17,HAR,67.83
18,CII,67.38
19,MCG,67.34
20,DRH,67.08
21,PTL,67.01
22,QBS,66.7
23,TNI,66.5
24,DLG,65.91
25,HAG,65.84
26,VPH,65.58
27,JVC,65.35
28,ITA,63.87
29,YEG,63.56
30,HDC,62.97
31,DCM,62.72
32,DAG,62.62
33,CKG,62.44
34,SCR,62.32
35,GEX,62.22
36,SAM,61.99
37,FRT,61.97
38,HOT,61.89
39,FCN,61.79
40,SMA,61.59
41,DPG,61.2
42,DAT,60.93
43,VGC,60.85
44,TSC,60.85
45,CTS,60.83
46,PET,60.78
47,LEC,60.72
48,DPM,60.7
49,TTB,60.64
50,HBC,60.56
51,CMX,60.51
52,DXG,60.42
53,DXV,60.4
54,ANV,60.4
55,BCG,60.23
56,VIX,60.2
57,LGL,60.05
58,KHP,59.74
59,TNT,59.65
60,HID,59.54
61,BSI,59.31
62,TCD,59.29
63,ABS,59.21
64,VOS,58.93
65,HNG,58.85
66,HU1,58.64
67,COM,58.2
68,ITC,58.09
69,PVD,57.86
70,FTS,57.79
71,ACL,57.79
72,ASM,57.78
73,HAX,57.72
74,TDC,57.65
75,HHS,57.56
76,LCG,57.45
77,CSV,57.36
78,TDH,56.99
79,DAH,56.85
80,DC4,56.75
81,HTN,56.41
82,HAH,56.37
83,TTF,56.28
84,DQC,56.24
85,BFC,56.2
86,BMC,55.98
87,PSH,55.95
88,NKG,55.92
89,KHG,55.91
90,FIT,55.78
91,SGR,55.65
92,DGW,55.62
93,MHC,55.57
94,EVG,55.55
95,KPF,55.4
96,TCR,55.36
97,APG,55.17
98,RDP,55.13
99,VND,55.05
100,TVB,55.01
101,UDC,54.88
102,NAV,54.49
103,TCH,54.38
104,VCI,54.36
105,PIT,54.03
106,HSG,53.86
107,DGC,53.82
108,TMT,53.82
109,VHC,53.74
110,TLD,53.63
111,KMR,53.48
112,SZC,53.43
113,PNC,53.41
114,TDG,52.99
115,HU3,52.93
116,ST8,52.8
117,HCM,52.66
118,DXS,52.65
119,CTI,52.5
120,DBC,52.41
121,DTA,52.4
122,VMD,52.27
123,MIG,52.22
124,AGR,52.07
125,KSB,52.05
126,TIP,52.04
127,FCM,52.02
128,CCL,52.01
129,ASP,51.84
130,BAF,51.81
131,VCG,51.7
132,LHG,51.62
133,ELC,51.56
134,CNG,51.51
135,PC1,51.48
136,NLG,51.39
137,VDS,51.26
138,SKG,51.15
139,CTD,50.9
140,GEG,50.84
141,TLH,50.81
142,ORS,50.69
143,HCD,50.66
144,DTT,50.51
145,PLP,50.5
146,HSL,50.36
147,POW,50.25
148,AGM,50.11
149,C47,50.09
150,BCE,50.08
151,TVS,49.88
152,IJC,49.88
153,LSS,49.87
154,GIL,49.85
155,SPM,49.33
156,SSI,49.16
157,PHC,49.11
158,APH,49.04
159,CRC,49.02
160,HUB,48.95
161,ITD,48.91
162,HHV,48.9
163,PVT,48.81
164,SVD,48.72
165,HDG,48.66
166,VNS,48.59
167,TNH,48.57
168,ACC,48.4
169,BCM,48.37
170,PHR,48.37
171,TEG,48.34
