,Open,High,Low,Close,Volume,TradingDate
0,18272.0,18464.0,18240.0,18336.0,10776300,2021-01-04
1,18304.0,18944.0,18112.0,18784.0,18693900,2021-01-05
2,19008.0,19584.0,18752.0,19136.0,15883900,2021-01-06
3,19168.0,19200.0,18944.0,19136.0,11636100,2021-01-07
4,19168.0,19456.0,19072.0,19328.0,15519300,2021-01-08
5,19520.0,19776.0,19296.0,19424.0,9821800,2021-01-11
6,19360.0,19392.0,19168.0,19264.0,9277600,2021-01-12
7,19392.0,19424.0,19008.0,19104.0,9915300,2021-01-13
8,19136.0,19136.0,18688.0,19104.0,8491200,2021-01-14
9,19200.0,19456.0,19168.0,19360.0,8184100,2021-01-15
10,19424.0,19520.0,19136.0,19168.0,8419100,2021-01-18
11,19072.0,19136.0,17856.0,17856.0,13077400,2021-01-19
12,17920.0,18112.0,16832.0,18112.0,12323000,2021-01-20
13,18464.0,18624.0,18144.0,18528.0,6535000,2021-01-21
14,18496.0,18624.0,18240.0,18336.0,5438100,2021-01-22
15,18112.0,18240.0,17952.0,17984.0,7683600,2021-01-25
16,17952.0,18336.0,17600.0,17792.0,8096200,2021-01-26
17,17792.0,18144.0,17408.0,17600.0,6387700,2021-01-27
18,16640.0,17088.0,16384.0,16384.0,15154800,2021-01-28
19,15680.0,17216.0,15680.0,17152.0,7621200,2021-01-29
20,17152.0,17536.0,16832.0,17056.0,7528200,2021-02-01
21,17056.0,17536.0,16864.0,17504.0,6544600,2021-02-02
22,17504.0,18048.0,17408.0,17984.0,7054500,2021-02-03
23,17984.0,18048.0,17792.0,18048.0,4250800,2021-02-04
24,18048.0,18336.0,18016.0,18240.0,5610600,2021-02-05
25,18240.0,18400.0,17408.0,17600.0,5755400,2021-02-08
26,17600.0,18272.0,17472.0,18272.0,5954800,2021-02-09
27,18432.0,18880.0,18368.0,18816.0,6855800,2021-02-17
28,18816.0,18848.0,18432.0,18656.0,5547900,2021-02-18
29,18560.0,19936.0,18496.0,19904.0,31184200,2021-02-19
30,20128.0,20608.0,19904.0,20224.0,12587300,2021-02-22
31,20384.0,20640.0,20128.0,20288.0,13951000,2021-02-23
32,20288.0,20384.0,19840.0,19968.0,18685200,2021-02-24
33,20160.0,20768.0,19904.0,20736.0,15014200,2021-02-25
34,20416.0,21344.0,20416.0,21152.0,13071400,2021-02-26
35,21376.0,21408.0,21056.0,21280.0,8464900,2021-03-01
36,21376.0,21408.0,20992.0,21120.0,9574100,2021-03-02
37,21056.0,21408.0,20928.0,21280.0,9072300,2021-03-03
38,21376.0,21376.0,20512.0,20736.0,9814000,2021-03-04
39,20544.0,20864.0,20224.0,20768.0,10157000,2021-03-05
40,20800.0,20928.0,20192.0,20352.0,16047000,2021-03-08
41,20096.0,20672.0,19904.0,20512.0,8819900,2021-03-09
42,20544.0,21248.0,20416.0,20960.0,12152700,2021-03-10
43,21120.0,21184.0,20960.0,21120.0,7124300,2021-03-11
44,21120.0,21152.0,20896.0,21088.0,5195500,2021-03-12
45,21120.0,21664.0,20864.0,21440.0,18052500,2021-03-15
46,21376.0,21568.0,21152.0,21408.0,6112900,2021-03-16
47,21376.0,21472.0,21248.0,21440.0,6246400,2021-03-17
48,21696.0,21920.0,21440.0,21728.0,10281900,2021-03-18
49,21696.0,21888.0,21568.0,21632.0,7108900,2021-03-19
50,21792.0,21824.0,21344.0,21376.0,8706000,2021-03-22
51,21472.0,21472.0,20992.0,21120.0,10347000,2021-03-23
52,20736.0,20960.0,20512.0,20768.0,9941600,2021-03-24
53,20800.0,20864.0,20416.0,20512.0,8322000,2021-03-25
54,20480.0,20768.0,20064.0,20768.0,7931700,2021-03-26
55,21056.0,21184.0,20736.0,21120.0,6981300,2021-03-29
56,21184.0,21440.0,20960.0,21312.0,8053200,2021-03-30
57,21440.0,21632.0,21280.0,21312.0,4986100,2021-03-31
58,21408.0,21664.0,21312.0,21664.0,10439300,2021-04-01
59,21888.0,22400.0,21760.0,22176.0,13979400,2021-04-02
60,22464.0,22592.0,22144.0,22240.0,7433500,2021-04-05
61,22208.0,22368.0,21856.0,22240.0,7565000,2021-04-06
62,22080.0,22208.0,21952.0,22016.0,6400900,2021-04-07
63,21984.0,22208.0,21888.0,22016.0,4687900,2021-04-08
64,21984.0,22144.0,21888.0,22016.0,5401500,2021-04-09
65,22144.0,22528.0,22048.0,22496.0,12513500,2021-04-12
66,22624.0,22720.0,22016.0,22144.0,8736000,2021-04-13
67,21952.0,22240.0,21856.0,22144.0,5073300,2021-04-14
68,22176.0,22208.0,21632.0,21664.0,9686700,2021-04-15
69,21632.0,21792.0,20928.0,21184.0,8403400,2021-04-16
70,21440.0,21600.0,20992.0,21568.0,4291900,2021-04-19
71,21760.0,22016.0,21248.0,21504.0,7166900,2021-04-20
72,21440.0,21504.0,20800.0,20800.0,7843500,2021-04-22
73,20736.0,21408.0,20544.0,21376.0,6687700,2021-04-23
74,21376.0,21376.0,20864.0,21312.0,7119100,2021-04-26
75,21120.0,21760.0,20896.0,21760.0,6393000,2021-04-27
76,21440.0,21952.0,21376.0,21632.0,5675200,2021-04-28
77,21632.0,22176.0,21504.0,22176.0,16646300,2021-04-29
78,21760.0,22240.0,21440.0,22048.0,9333200,2021-05-04
79,22144.0,22944.0,22144.0,22592.0,17558400,2021-05-05
80,22592.0,22624.0,22176.0,22272.0,7783800,2021-05-06
81,22080.0,22656.0,22080.0,22528.0,12059100,2021-05-07
82,22560.0,23264.0,22528.0,23168.0,13491300,2021-05-10
83,23296.0,23296.0,22912.0,22912.0,9777000,2021-05-11
84,22752.0,23136.0,22656.0,23136.0,8991300,2021-05-12
85,22912.0,23648.0,22848.0,23168.0,11724300,2021-05-13
86,23296.0,23488.0,23072.0,23328.0,6118400,2021-05-14
87,23680.0,23808.0,23328.0,23392.0,9278700,2021-05-17
88,23424.0,23424.0,22976.0,23200.0,7881100,2021-05-18
89,23168.0,23488.0,22976.0,23424.0,8143500,2021-05-19
90,23424.0,24000.0,23424.0,23936.0,12263200,2021-05-20
91,23936.0,24512.0,23872.0,24000.0,9146500,2021-05-21
92,24224.0,24224.0,23840.0,24000.0,7546600,2021-05-24
93,24000.0,24480.0,23872.0,24320.0,8757400,2021-05-25
94,24352.0,24736.0,24352.0,24608.0,9976000,2021-05-26
95,24640.0,25056.0,24256.0,24448.0,9551700,2021-05-27
96,24480.0,24896.0,24352.0,24896.0,9416000,2021-05-28
97,25280.0,26528.0,24960.0,26496.0,16030300,2021-05-31
98,27200.0,27456.0,26880.0,26944.0,11159800,2021-06-01
99,27296.0,28544.0,27200.0,28544.0,16009600,2021-06-02
100,29632.0,29632.0,28544.0,29376.0,12265700,2021-06-03
101,28800.0,29376.0,28800.0,28992.0,9488100,2021-06-04
102,28736.0,28736.0,27040.0,27520.0,18505000,2021-06-07
103,27232.0,27776.0,25728.0,25728.0,14322800,2021-06-08
104,25728.0,27264.0,25600.0,27168.0,12565100,2021-06-09
105,27600.0,28280.0,27280.0,27280.0,14000300,2021-06-10
106,27520.0,28080.0,27040.0,27720.0,9532300,2021-06-11
107,27720.0,27920.0,27080.0,27280.0,10946100,2021-06-14
108,27280.0,28960.0,26800.0,28280.0,18178200,2021-06-15
109,28280.0,28360.0,27600.0,27760.0,8211200,2021-06-16
110,27200.0,28000.0,26960.0,27920.0,6392600,2021-06-17
111,28160.0,28400.0,27920.0,28000.0,9215200,2021-06-18
112,27920.0,28160.0,27720.0,27800.0,5447600,2021-06-21
113,28160.0,28800.0,27880.0,28520.0,14872000,2021-06-22
114,28720.0,29120.0,28560.0,28640.0,10244600,2021-06-23
115,28800.0,29160.0,28480.0,28960.0,11494200,2021-06-24
116,28960.0,29280.0,28840.0,29080.0,7934000,2021-06-25
117,29360.0,29440.0,29040.0,29360.0,7937700,2021-06-28
118,29520.0,29560.0,29160.0,29160.0,6677700,2021-06-29
119,29080.0,29200.0,28480.0,28560.0,9628000,2021-06-30
120,28440.0,28960.0,28080.0,28760.0,10393200,2021-07-01
121,29040.0,29120.0,28800.0,28880.0,6407100,2021-07-02
122,29040.0,30480.0,28720.0,30360.0,16668600,2021-07-05
123,30400.0,30560.0,28800.0,28800.0,10070000,2021-07-06
124,28800.0,29520.0,28080.0,29240.0,10121600,2021-07-07
125,29240.0,29760.0,28800.0,28960.0,7351900,2021-07-08
126,28800.0,29280.0,27200.0,28160.0,11315400,2021-07-09
127,27600.0,27800.0,26200.0,26200.0,18353700,2021-07-12
128,26640.0,26640.0,25840.0,26320.0,6672200,2021-07-13
129,26320.0,26400.0,24880.0,25400.0,10810500,2021-07-14
130,25120.0,26360.0,25080.0,26200.0,5095400,2021-07-15
131,26520.0,26880.0,26240.0,26880.0,5918800,2021-07-16
132,26320.0,26520.0,25560.0,25720.0,10019200,2021-07-19
133,26000.0,27120.0,25600.0,27120.0,8563400,2021-07-20
134,27240.0,27600.0,27000.0,27040.0,8179300,2021-07-21
135,27040.0,27520.0,26560.0,27280.0,7161900,2021-07-22
136,27120.0,27320.0,26400.0,26400.0,7433000,2021-07-23
137,26080.0,26480.0,25640.0,26160.0,7528400,2021-07-26
138,26440.0,26800.0,26400.0,26520.0,5634700,2021-07-27
139,26560.0,26880.0,26440.0,26520.0,4846400,2021-07-28
140,26760.0,27360.0,26640.0,27320.0,7638000,2021-07-29
141,27440.0,28920.0,27440.0,28920.0,35156000,2021-07-30
142,28400.0,28800.0,28280.0,28440.0,8646400,2021-08-02
143,28360.0,28640.0,28000.0,28640.0,8766300,2021-08-03
144,28800.0,28800.0,28240.0,28400.0,8466500,2021-08-04
145,28280.0,28880.0,28240.0,28800.0,13787200,2021-08-05
146,28880.0,28920.0,28360.0,28440.0,8620800,2021-08-06
147,28320.0,29480.0,28120.0,29200.0,19240200,2021-08-09
148,29440.0,29480.0,28960.0,29200.0,10457700,2021-08-10
149,29200.0,29400.0,28800.0,28800.0,16492300,2021-08-11
150,28640.0,28800.0,28240.0,28240.0,12147100,2021-08-12
151,28160.0,28360.0,27440.0,28280.0,15125200,2021-08-13
152,28280.0,28800.0,27840.0,28560.0,12056700,2021-08-16
153,28800.0,28960.0,28320.0,28480.0,8743100,2021-08-17
154,28360.0,28640.0,28240.0,28440.0,7096100,2021-08-18
155,28400.0,28440.0,27960.0,28240.0,9370500,2021-08-19
156,28240.0,28280.0,26440.0,26880.0,20952900,2021-08-20
157,26800.0,26880.0,25600.0,25600.0,15602700,2021-08-23
158,25600.0,26000.0,25360.0,25840.0,9084200,2021-08-24
159,25760.0,26000.0,25520.0,25960.0,4865700,2021-08-25
160,26040.0,26080.0,25440.0,25560.0,4944800,2021-08-26
161,25360.0,25480.0,24640.0,25400.0,8069600,2021-08-27
162,25440.0,25920.0,25280.0,25720.0,8029600,2021-08-30
163,26000.0,26080.0,25600.0,25600.0,5528600,2021-08-31
164,25600.0,26200.0,25560.0,25600.0,8715300,2021-09-01
165,25760.0,25840.0,25560.0,25640.0,7383200,2021-09-06
166,25920.0,26200.0,25760.0,26000.0,7963700,2021-09-07
167,26000.0,26200.0,25680.0,25720.0,4752900,2021-09-08
168,25600.0,25960.0,25560.0,25960.0,3431900,2021-09-09
169,26000.0,26040.0,25800.0,25840.0,4101100,2021-09-10
170,25840.0,25840.0,25520.0,25520.0,5199800,2021-09-13
171,25480.0,25600.0,25200.0,25200.0,4511400,2021-09-14
172,25200.0,25200.0,24920.0,24960.0,4979200,2021-09-15
173,25000.0,25240.0,24960.0,25040.0,3455500,2021-09-16
174,25280.0,25440.0,25080.0,25280.0,4572300,2021-09-17
175,25600.0,25840.0,25480.0,25680.0,6387800,2021-09-20
176,25440.0,25600.0,25160.0,25440.0,3882100,2021-09-21
177,25440.0,25600.0,25280.0,25280.0,2681700,2021-09-22
178,25360.0,25440.0,25200.0,25280.0,4210800,2021-09-23
179,25440.0,25720.0,25280.0,25600.0,6688700,2021-09-24
180,25760.0,25920.0,25200.0,25200.0,4801300,2021-09-27
181,25200.0,25400.0,25120.0,25280.0,2517400,2021-09-28
182,25280.0,25360.0,24920.0,25080.0,3615100,2021-09-29
183,25080.0,25280.0,25040.0,25240.0,4394800,2021-09-30
184,25200.0,25240.0,24880.0,25200.0,6441900,2021-10-01
185,25040.0,25120.0,24480.0,24800.0,5659000,2021-10-04
186,24800.0,25200.0,24800.0,25200.0,2912300,2021-10-05
187,25240.0,25320.0,24880.0,25080.0,3321300,2021-10-06
188,25200.0,25200.0,24960.0,24960.0,2161800,2021-10-07
189,25120.0,25240.0,25000.0,25160.0,3480900,2021-10-08
190,25280.0,26080.0,25280.0,26080.0,6684100,2021-10-11
191,26320.0,26320.0,25920.0,26080.0,3385300,2021-10-12
192,26080.0,26320.0,26000.0,26080.0,3709300,2021-10-13
193,26080.0,26160.0,25760.0,25840.0,4521600,2021-10-14
194,26000.0,26040.0,25680.0,25760.0,2976800,2021-10-15
195,25880.0,26080.0,25600.0,25600.0,4543400,2021-10-18
196,25920.0,25920.0,25520.0,25840.0,3615400,2021-10-19
197,25840.0,26120.0,25440.0,25840.0,3846400,2021-10-20
198,25840.0,25840.0,25400.0,25400.0,4132200,2021-10-21
199,25520.0,25560.0,25160.0,25280.0,3827100,2021-10-22
200,25360.0,25360.0,24880.0,25000.0,5200400,2021-10-25
201,25000.0,25000.0,24640.0,24880.0,5259100,2021-10-26
202,24920.0,25440.0,24920.0,25120.0,5828200,2021-10-27
203,25320.0,25480.0,25200.0,25480.0,4649100,2021-10-28
204,25480.0,26400.0,25400.0,26400.0,13597100,2021-10-29
205,26240.0,26320.0,25920.0,26160.0,5293300,2021-11-01
206,26160.0,26520.0,26040.0,26520.0,7009200,2021-11-02
207,26640.0,27280.0,26600.0,27080.0,13060100,2021-11-03
208,27240.0,27240.0,26760.0,26800.0,4197400,2021-11-04
209,27040.0,27040.0,26640.0,26800.0,3967400,2021-11-05
210,26800.0,26920.0,26560.0,26720.0,5385300,2021-11-08
211,26720.0,27040.0,26680.0,26760.0,5047900,2021-11-09
212,26800.0,26840.0,26520.0,26720.0,4367400,2021-11-10
213,26640.0,26840.0,26000.0,26400.0,7129400,2021-11-11
214,26400.0,26680.0,26120.0,26680.0,4376100,2021-11-12
215,26720.0,26880.0,26600.0,26720.0,4878900,2021-11-15
216,26680.0,26720.0,26240.0,26520.0,5211500,2021-11-16
217,26520.0,26800.0,26240.0,26640.0,4360500,2021-11-17
218,26800.0,26800.0,26000.0,26000.0,5497600,2021-11-18
219,26160.0,27120.0,26040.0,26760.0,9794000,2021-11-19
220,26800.0,27840.0,26400.0,27320.0,9151000,2021-11-22
221,27400.0,27440.0,26960.0,27160.0,3839600,2021-11-23
222,27120.0,28360.0,27000.0,28280.0,14295800,2021-11-24
223,28400.0,28440.0,27960.0,28120.0,7083400,2021-11-25
224,28120.0,28240.0,27680.0,27680.0,6209000,2021-11-26
225,27040.0,27440.0,27040.0,27320.0,6095500,2021-11-29
226,27520.0,27600.0,26560.0,26640.0,6145400,2021-11-30
227,26480.0,26800.0,26440.0,26800.0,3620400,2021-12-01
228,26880.0,26880.0,26560.0,26560.0,2645000,2021-12-02
229,26720.0,26840.0,26040.0,26040.0,4916300,2021-12-03
230,25840.0,26240.0,25320.0,25840.0,6499000,2021-12-06
231,26000.0,26360.0,25680.0,26360.0,2827600,2021-12-07
232,26120.0,26720.0,26040.0,26480.0,2900500,2021-12-08
233,26400.0,26640.0,26240.0,26640.0,2156000,2021-12-09
234,26560.0,26880.0,26480.0,26720.0,4730500,2021-12-10
235,26840.0,27040.0,26640.0,26720.0,3012700,2021-12-13
236,26640.0,26800.0,26480.0,26640.0,2128100,2021-12-14
237,26480.0,26840.0,26440.0,26720.0,2122900,2021-12-15
238,26800.0,26840.0,26400.0,26400.0,2305800,2021-12-16
239,26520.0,26640.0,26440.0,26560.0,2403500,2021-12-17
240,26560.0,26640.0,26280.0,26480.0,3296100,2021-12-20
241,26360.0,26360.0,26240.0,26240.0,2420400,2021-12-21
242,26120.0,26360.0,26120.0,26160.0,3385200,2021-12-22
243,26080.0,26120.0,25600.0,26000.0,4135300,2021-12-23
244,26000.0,26520.0,25760.0,26400.0,4372600,2021-12-24
245,26640.0,26640.0,26320.0,26520.0,2459500,2021-12-27
246,26520.0,27000.0,26440.0,26920.0,3477400,2021-12-28
247,27080.0,27360.0,26960.0,27040.0,3817200,2021-12-29
248,26960.0,27200.0,26800.0,27120.0,1819600,2021-12-30
249,27200.0,27640.0,27200.0,27600.0,5651800,2021-12-31
250,27840.0,27840.0,27400.0,27520.0,4555000,2022-01-04
251,27480.0,27480.0,26920.0,26960.0,5934500,2022-01-05
252,26800.0,27200.0,26480.0,27000.0,5673700,2022-01-06
253,27120.0,27160.0,26640.0,26640.0,3323800,2022-01-07
254,26400.0,26720.0,26360.0,26400.0,5693200,2022-01-10
255,26400.0,26440.0,26160.0,26200.0,6395100,2022-01-11
256,26160.0,26840.0,26040.0,26480.0,7789000,2022-01-12
257,26920.0,27400.0,26520.0,26680.0,6511900,2022-01-13
258,26680.0,26760.0,26400.0,26440.0,1941100,2022-01-14
259,26480.0,26920.0,26200.0,26200.0,7284700,2022-01-17
260,26200.0,26440.0,25840.0,26240.0,4272600,2022-01-18
261,26240.0,26640.0,26240.0,26400.0,2104000,2022-01-19
262,26400.0,26520.0,26160.0,26360.0,3415900,2022-01-20
263,26360.0,27200.0,26320.0,26760.0,4404000,2022-01-21
264,26800.0,27920.0,26800.0,27480.0,13185100,2022-01-24
265,27480.0,28040.0,27480.0,27880.0,4282700,2022-01-25
266,28000.0,28760.0,28000.0,28360.0,8494500,2022-01-26
267,28320.0,28320.0,27640.0,27920.0,6064400,2022-01-27
268,27920.0,28000.0,27520.0,27640.0,10258100,2022-01-28
